"","month","station","ktx_alight","sm_alight","mg_alight","nr_alight","ktx_sc_alight","ktx_hn_alight","itx_sm_alight","itx_youth_alight","total"
"364",201710,"평내호평",0,0,0,0,0,0,0,33655,33655
"365",201710,"마석",0,0,0,0,0,0,0,1439,1439
"366",201710,"가평",0,0,0,0,0,0,0,61405,61405
"367",201710,"광명",241742,0,0,0,89467,18942,0,0,350151
"368",201711,"안양",0,11,10288,3170,0,0,0,0,13469
"369",201711,"수원",42828,19579,300991,14657,0,6917,81702,0,466674
"370",201711,"오산",0,0,5142,2896,0,0,0,0,8038
"371",201711,"서정리",0,0,964,1287,0,0,0,0,2251
"372",201711,"평택",0,3177,146582,6941,0,0,18174,0,174874
"373",201711,"덕소",0,0,1738,0,0,0,0,0,1738
"374",201711,"양평",0,371,27738,0,0,0,922,0,29031
"375",201711,"용문",0,0,7339,0,0,0,0,0,7339
"376",201711,"지평",0,0,1062,0,0,0,0,0,1062
"377",201711,"석불",0,0,61,0,0,0,0,0,61
"378",201711,"일신",0,0,407,0,0,0,0,0,407
"379",201711,"매곡",0,0,426,0,0,0,0,0,426
"380",201711,"양동",0,0,6033,0,0,0,0,0,6033
"381",201711,"삼산",0,0,97,0,0,0,0,0,97
"382",201711,"중동",0,375,648,0,0,0,0,0,1023
"383",201711,"행신",30455,0,0,0,18337,3707,0,0,52499
"384",201711,"문산",0,45,0,0,0,0,0,0,45
"385",201711,"운천",0,0,0,0,0,0,0,0,0
"386",201711,"임진강",0,101,0,0,0,0,0,0,101
"387",201711,"도라산",0,1241,0,0,0,0,0,0,1241
"388",201711,"의정부",0,606,0,0,0,0,0,0,606
"389",201711,"동두천",0,15,0,0,0,0,0,0,15
"390",201711,"소요산",0,7,0,0,0,0,0,0,7
"391",201711,"초성리",0,0,0,0,0,0,0,0,0
"392",201711,"한탄강",0,0,0,0,0,0,0,0,0
"393",201711,"전곡",0,0,0,0,0,0,0,0,0
"394",201711,"연천",0,212,0,0,0,0,0,0,212
"395",201711,"신망리",0,0,0,0,0,0,0,0,0
"396",201711,"대광리",0,0,0,0,0,0,0,0,0
"397",201711,"신탄리",0,223,0,0,0,0,0,0,223
"398",201711,"퇴계원",0,0,0,0,0,0,0,1059,1059
"399",201711,"평내호평",0,0,0,0,0,0,0,31417,31417
"400",201711,"마석",0,0,0,0,0,0,0,1835,1835
"401",201711,"가평",0,0,563,0,0,0,0,46106,46669
"402",201711,"광명",228389,0,0,0,87821,18374,0,0,334584
"403",201712,"안양",0,0,10742,3248,0,0,0,0,13990
"404",201712,"수원",48590,20863,319634,14786,0,3315,89525,0,496713
"405",201712,"오산",0,0,4632,3104,0,0,0,0,7736
"406",201712,"서정리",0,0,944,1162,0,0,0,0,2106
"407",201712,"평택",0,3608,159082,7264,0,0,20064,0,190018
"408",201712,"도농",0,0,0,0,0,0,0,0,0
"409",201712,"덕소",0,0,1628,0,0,0,0,0,1628
"410",201712,"양평",0,0,29547,0,0,3051,446,0,33044
"411",201712,"용문",0,0,7374,0,0,0,0,0,7374
"412",201712,"지평",0,0,1030,0,0,0,0,0,1030
"413",201712,"석불",0,0,71,0,0,0,0,0,71
"414",201712,"일신",0,0,360,0,0,0,0,0,360
"415",201712,"매곡",0,0,369,0,0,0,0,0,369
"416",201712,"양동",0,0,6174,0,0,0,0,0,6174
"417",201712,"삼산",0,0,111,0,0,0,0,0,111
"418",201712,"행신",34679,0,0,0,20264,1716,0,0,56659
"419",201712,"문산",0,23,0,0,0,0,0,0,23
"420",201712,"운천",0,0,0,0,0,0,0,0,0
"421",201712,"임진강",0,49,0,0,0,0,0,0,49
"422",201712,"도라산",0,922,0,0,0,0,0,0,922
"423",201712,"의정부",0,356,0,0,0,0,0,0,356
"424",201712,"동두천",0,1,0,0,0,0,0,0,1
