"","연월","station","합계_승차수.명.","합계_하차수.명.","KTX_승차수.명.","KTX_하차수.명.","새마을_승차수.명.","새마을_하차수.명.","무궁화_승차수.명.","무궁화_하차수.명..","통근열차_승차수.명.","통근열차_하차수.명.","누리로_승차수.명.","누리로_하차수.명.","KTX산천_승차수.명.","KTX산천_하차수.명.","ITX새마을_승차수.명.","ITX새마을_하차수.명.","ITX청춘열차_승차수.명.","ITX청춘열차_하차수.명.","KTX호남_승차수.명.","KTX호남_하차수.명."
"690",201807,"광명",392017,383909,278404,281588,0,0,0,0,0,0,0,0,82688,84161,0,0,0,0,5743,5478
"691",201808,"안양",16958,13116,0,0,0,0,14488,10565,0,0,2470,2551,0,0,0,0,0,0,0,0
"692",201808,"수원",458330,471099,49868,53381,23338,20612,289517,291158,0,0,18823,17654,0,0,76784,88294,0,0,0,0
"693",201808,"오산",7365,7506,0,0,0,0,4508,4765,0,0,2857,2741,0,0,0,0,0,0,0,0
"694",201808,"서정리",1934,1981,0,0,0,0,964,1136,0,0,970,845,0,0,0,0,0,0,0,0
"695",201808,"평택",175629,177826,0,0,6176,3625,141085,145320,0,0,10738,9309,0,0,17630,19572,0,0,0,0
"696",201808,"도농",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"697",201808,"덕소",1890,1985,0,0,307,301,1583,1684,0,0,0,0,0,0,0,0,0,0,0,0
"698",201808,"양평",36690,35527,0,0,0,0,26666,26689,0,0,0,0,0,0,302,851,0,0,9722,7987
"699",201808,"용문",10930,10541,0,0,0,0,10135,9901,0,0,0,0,0,0,795,640,0,0,0,0
"700",201808,"지평",1144,996,0,0,0,0,1144,996,0,0,0,0,0,0,0,0,0,0,0,0
"701",201808,"석불",62,65,0,0,0,0,62,65,0,0,0,0,0,0,0,0,0,0,0,0
"702",201808,"일신",681,811,0,0,0,0,681,811,0,0,0,0,0,0,0,0,0,0,0,0
"703",201808,"매곡",472,397,0,0,0,0,472,397,0,0,0,0,0,0,0,0,0,0,0,0
"704",201808,"양동",5599,5944,0,0,0,0,5599,5944,0,0,0,0,0,0,0,0,0,0,0,0
"705",201808,"삼산",163,145,0,0,0,0,163,145,0,0,0,0,0,0,0,0,0,0,0,0
"706",201808,"행신",63161,62736,44684,35839,0,0,0,0,0,0,0,0,16382,22317,0,0,0,0,2095,4580
"707",201808,"문산",608,601,0,0,144,137,464,464,0,0,0,0,0,0,0,0,0,0,0,0
"708",201808,"운천",0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709",201808,"임진강",187,214,0,0,187,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710",201808,"도라산",2053,2055,0,0,2053,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"711",201808,"의정부",314,309,0,0,314,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"712",201808,"동두천",13893,12700,0,0,0,0,0,0,13893,12700,0,0,0,0,0,0,0,0,0,0
"713",201808,"소요산",457,62,0,0,0,3,0,0,457,59,0,0,0,0,0,0,0,0,0,0
"714",201808,"초성리",9,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
"715",201808,"한탄강",10,5,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0
"716",201808,"전곡",1890,676,0,0,0,0,0,0,1890,676,0,0,0,0,0,0,0,0,0,0
"717",201808,"연천",11573,14383,0,0,178,172,0,0,11395,14211,0,0,0,0,0,0,0,0,0,0
"718",201808,"퇴계원",2105,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105,1088,0,0
"719",201808,"평내호평",36125,31398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36125,31398,0,0
"720",201808,"마석",2622,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,1811,0,0
"721",201808,"가평",54365,57832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54365,57832,0,0
"722",201808,"광명",395612,397299,280766,287918,0,0,0,0,0,0,0,0,84365,85627,0,0,0,0,7409,6769
"723",201809,"안양",17637,13106,0,0,0,0,14700,10439,0,0,2937,2667,0,0,0,0,0,0,0,0
"724",201809,"수원",504832,513910,52272,56332,25319,22796,320913,322556,0,0,20100,18608,0,0,86228,93618,0,0,0,0
"725",201809,"오산",7384,7317,0,0,0,0,4410,4656,0,0,2974,2661,0,0,0,0,0,0,0,0
"726",201809,"서정리",1891,2061,0,0,0,0,897,1024,0,0,994,1037,0,0,0,0,0,0,0,0
"727",201809,"평택",190522,192568,0,0,5713,3522,153412,157075,0,0,11036,9535,0,0,20361,22436,0,0,0,0
"728",201809,"덕소",1926,1902,0,0,0,0,1926,1902,0,0,0,0,0,0,0,0,0,0,0,0
"729",201809,"양평",37249,35043,0,0,0,0,26686,25754,0,0,0,0,0,0,362,875,0,0,10201,8414
"730",201809,"용문",10332,9777,0,0,0,0,9582,9237,0,0,0,0,0,0,750,540,0,0,0,0
"731",201809,"지평",1189,950,0,0,0,0,1189,950,0,0,0,0,0,0,0,0,0,0,0,0
